name,equipment,reps,sets,instructions,category
Bench Press,Barbell,10,4,Press the bar upward with controlled movement,Chest
Push Ups,Bodyweight,15,3,Lower your body and push back up,Chest
Bent Over Row,Barbell,10,4,Pull the bar toward your torso,Back
Pull Ups,Bodyweight,8,3,Pull your chin above the bar,Back
Squats,Barbell,12,4,Lower down and drive upward,Legs
Lunges,Dumbbells,12 each leg,3,Step forward and lower your body,Legs
Bicep Curls,Dumbbells,12,3,Curl the weights upward slowly,Arms
Tricep Dips,Bodyweight,12,3,Lower and push using your arms,Arms
Shoulder Press,Dumbbells,10,4,Press dumbbells overhead,Shoulders
Lateral Raises,Dumbbells,12,3,Raise dumbbells to shoulder level,Shoulders
Plank,Bodyweight,45 sec,3,Keep your body straight and tight,Core
Crunches,Bodyweight,20,3,Contract your abs and lift upward,Core
Burpees,Bodyweight,12,3,Jump down and explode upward,Cardio
Jump Rope,Rope,60 sec,4,Jump continuously with good rhythm,Cardio
Deadlift,Barbell,8,4,Lift the bar with a flat back,Full Body
Mountain Climbers,Bodyweight,30 sec,3,Drive knees forward quickly,Full Body